City	Population Density (Persons/Square Mile)	2016 Population	Land Area (Square Miles)
Lancaster, Pennsylvania	8,191	59,218	7
Novi, Michigan	1,957	59,211	30
Great Falls, Montana	2,716	59,178	22
Springfield, Ohio	2,336	59,087	25
Woodland, California	3,861	59,068	15
Royal Oak, Michigan	5,009	59,006	12
Porterville, California	3,349	58,978	18
San Rafael, California	3,579	58,954	16
Huntington Park, California	19,561	58,879	3
Orland Park, Illinois	2,690	58,862	22
Ankeny, Iowa	1,999	58,627	29
Bartlett, Tennessee	2,200	58,622	27
Sanford, Florida	2,552	58,605	23
Dubuque, Iowa	1,953	58,531	30
Arcadia, California	5,354	58,523	11
Bowie, Maryland	3,168	58,393	18
White Plains, New York	5,961	58,241	10
Des Plaines, Illinois	4,071	58,141	14
Doral, Florida	4,175	57,947	14
Margate, Florida	6,539	57,870	9
Santee, California	3,561	57,834	16
Kokomo, Indiana	3,124	57,799	19
Castle Rock, Colorado	1,707	57,666	34
Grand Forks, North Dakota	2,881	57,339	20
Midwest City, Oklahoma	2,349	57,305	24
St. Peters, Missouri	2,561	57,289	22
Medford, Massachusetts	7,063	57,213	8
Corvallis, Oregon	4,042	57,110	14
Hendersonville, Tennessee	1,819	57,050	31
New Brunswick, New Jersey	10,881	56,910	5
Taunton, Massachusetts	1,217	56,843	47
Tinley Park, Illinois	3,548	56,831	16
Diamond Bar, California	3,817	56,793	15
Smyrna, Georgia	3,691	56,664	15
Sarasota, Florida	3,862	56,610	15
Greenwood, Indiana	2,663	56,545	21
Fountain Valley, California	6,267	56,529	9
Valdosta, Georgia	1,576	56,474	36
Oak Lawn, Illinois	6,549	56,257	9
Novato, California	2,041	56,004	27
Chicopee, Massachusetts	2,453	55,991	23
Weymouth Town, Massachusetts	3,334	55,972	17
Dearborn Heights, Michigan	4,750	55,761	12
Berwyn, Illinois	14,258	55,748	4
Bradenton, Florida	3,927	55,687	14
Hempstead, New York	15,096	55,555	4
Hanford, California	3,348	55,547	17
Rocky Mount, North Carolina	1,267	55,466	44
Port Arthur, Texas	721	55,427	77
Shoreline, Washington	4,741	55,333	12
Kettering, Ohio	2,961	55,306	19
Anderson, Indiana	1,333	55,130	41
Decatur, Alabama	1,026	55,072	54
Gilroy, California	3,410	55,069	16
Richland, Washington	1,539	54,989	36
Manhattan, Kansas	2,931	54,983	19
Highland, California	2,929	54,939	19
